발행인,시도,시구,동읍,상세주소,사업용도,사업용도세부종목,브릿지론/본PF
지아이비풍무,경기도,김포시,사우동,486-2번지,용도복합,도시개발,0
지아이비풍무,경기도,김포시,사우동,486-2번지,용도복합,도시개발,0
지아이비풍무,경기도,김포시,사우동,486-2번지,용도복합,도시개발,0
지아이비풍무,경기도,김포시,사우동,486-2번지,용도복합,도시개발,0
지아이비풍무,경기도,김포시,사우동,486-2번지,용도복합,도시개발,0
라온제나제오차,충청남도,아산시,동산지구,A1,공동주택,-,0
라온제나제오차,충청남도,아산시,동산지구,A1,공동주택,-,0
라온제나제오차,충청남도,아산시,동산지구,A1,공동주택,-,0
라온제나제오차,충청남도,아산시,동산지구,A1,공동주택,-,0
라온제나제오차,충청남도,아산시,동산지구,A1,공동주택,-,0
라온제나제오차,충청남도,아산시,동산지구,A1,공동주택,-,0
라온제나제오차,충청남도,아산시,동산지구,A1,공동주택,-,0
라온제나제오차,충청남도,아산시,동산지구,A1,공동주택,-,0
라온제나제오차,충청남도,아산시,동산지구,A1,공동주택,-,0
라온제나제오차,충청남도,아산시,동산지구,A1,공동주택,-,0
라온제나제오차,충청남도,아산시,동산지구,A1,공동주택,-,0
라온제나제오차,충청남도,아산시,동산지구,A1,공동주택,-,0
라온제나제오차,충청남도,아산시,동산지구,A1,공동주택,-,0
라온제나제오차,충청남도,아산시,동산지구,A1,공동주택,-,0
라온제나제오차,충청남도,아산시,동산지구,A1,공동주택,-,0
라온제나제오차,충청남도,아산시,동산지구,A1,공동주택,-,0
라온제나제오차,충청남도,아산시,동산지구,A1,공동주택,-,0
라온제나제오차,충청남도,아산시,동산지구,A1,공동주택,-,0
라온제나제오차,충청남도,아산시,동산지구,A1,공동주택,-,0
라온제나제오차,충청남도,아산시,동산지구,A1,공동주택,-,0
엠에스광주제삼차,광주광역시,광산구,소촌동,451,공동주택,-,0
엠에스광주제삼차,광주광역시,광산구,소촌동,451,공동주택,-,0
