발행인,신용보강기관종류1,신용보강기관명1,신용보강형태1,시공사
레드실버제일차,금융기관,미래에셋증권(주),유동화증권 매입보장,해당없음
루시다제일차,일반기업,롯데건설,SPC 또는 유동화증권에 대한 신용보강,롯데건설
비에스지성내제일차,일반기업,현대엔지니어링,SPC 또는 유동화증권에 대한 신용보강,현대엔지니어링
센트럴검단제일차,금융기관,한국투자증권,유동화증권 매입보장,롯데건설
센트럴검단제일차,금융기관,한국투자증권,유동화증권 매입보장,롯데건설
스마트시티더블유제이차,금융기관,현대차증권,SPC 또는 유동화증권에 대한 신용보강,지에스건설
알파온수제사차,금융기관,하이투자증권,SPC 또는 유동화증권에 대한 신용보강,서해종합건설
알파온수제삼차,금융기관,하이투자증권,SPC 또는 유동화증권에 대한 신용보강,서해종합건설
에스와이디비제일차,금융기관,디비금융투자,SPC 또는 유동화증권에 대한 신용보강,케이씨씨건설
에이블대명제일차,금융기관,케이비증권,SPC 또는 유동화증권에 대한 신용보강,디엘이앤씨 주식회사
에이블용답제이차,금융기관,케이비증권,SPC 또는 유동화증권에 대한 신용보강,선원건설(주)
엔에이치검단제일차,금융기관,NH투자증권,SPC 또는 유동화증권에 대한 신용보강,롯데건설
엠에이검단,금융기관,미래에셋증권(주),SPC 또는 유동화증권에 대한 신용보강,롯데건설
엠에이장현제일차,금융기관,미래에셋증권(주),SPC 또는 유동화증권에 대한 신용보강,미정
이큐디벨롭제십칠차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
이큐디벨롭제십팔차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
제이에이치와이복합,금융기관,하나증권(주),SPC 또는 유동화증권에 대한 신용보강,한화건설
제이에이치와이복합,금융기관,하나증권(주),SPC 또는 유동화증권에 대한 신용보강,한화건설
제이에이치와이복합,금융기관,하나증권(주),SPC 또는 유동화증권에 대한 신용보강,한화건설
제이온퍼스트,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,디앤시건설
제이이와이복합,금융기관,하나증권(주),SPC 또는 유동화증권에 대한 신용보강,한화건설
제이티운양제일차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
쥐피에스22제칠차,금융기관,신한투자증권(주),유동화증권 매입보장,해당없음
쥐피에스22제팔차,금융기관,신한투자증권(주),유동화증권 매입보장,해당없음
쥐피에스23제삼차,금융기관,신한투자증권(주),SPC 또는 유동화증권에 대한 신용보강,미정
찬스공평유동화,금융기관,신한투자증권(주),유동화증권 매입보장,현대엔지니어링
패스트포제일차,금융기관,비엔케이투자증권,유동화증권 매입보장,에이스건설
포트라제일차,금융기관,비엔케이투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
피넛레드,일반기업,삼성물산(주),SPC 또는 유동화증권에 대한 신용보강,삼성물산(주)
피에프개발제일차,금융기관,한국투자증권,유동화증권 매입보장,해당없음
하이미단스테이,금융기관,하이투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
네오컨티넨탈,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,신화건설
뉴스타김포제사차,금융기관,케이비증권,SPC 또는 유동화증권에 대한 신용보강,케이씨씨건설
더블유제이엘제일차,일반기업,롯데건설,SPC 또는 유동화증권에 대한 신용보강,롯데건설
더에이치지에프제일차,금융기관,현대차증권,SPC 또는 유동화증권에 대한 신용보강,아이에스동서
루시아피아이제일차,금융기관,유안타증권,SPC 또는 유동화증권에 대한 신용보강,(주)대림
비에스에이엔엠제이차,금융기관,키움증권,SPC 또는 유동화증권에 대한 신용보강,건영
비에스에이엔엠제일차,금융기관,키움증권,SPC 또는 유동화증권에 대한 신용보강,건영
에이블개봉오제일차,금융기관,케이비증권,SPC 또는 유동화증권에 대한 신용보강,호반건설
에코플로라,금융기관,이베스트투자증권,SPC 또는 유동화증권에 대한 신용보강,코오롱글로벌
엠에이평택,금융기관,미래에셋증권(주),SPC 또는 유동화증권에 대한 신용보강,미정
온방어제일차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
케이더블유호원제이차,금융기관,키움증권,유동화증권 매입보장,현대건설
케이더블유호원제일차,금융기관,키움증권,유동화증권 매입보장,현대건설
케이더블유호원제일차,금융기관,키움증권,유동화증권 매입보장,현대건설
크레인디오션제일차,금융기관,경남은행,SPC 또는 유동화증권에 대한 신용보강,제일건설
파워플레이제일차,금융기관,케이비증권,SPC 또는 유동화증권에 대한 신용보강,까뮤이앤씨
글로리엠비앤제일차,금융기관,한국투자증권,유동화증권 매입보장,해당없음
디아이에프와이,일반기업,현대건설,유동화증권 매입보장,현대건설
디에이지축제일차,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,에이스건설
디에이지축제일차,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,에이스건설
루미너스양주제일차,금융기관,메리츠증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
베타플러스제일차,금융기관,비엔케이투자증권,SPC 또는 유동화증권에 대한 신용보강,롯데건설
베타플러스제일차,금융기관,비엔케이투자증권,SPC 또는 유동화증권에 대한 신용보강,롯데건설
