발행인,신용보강기관종류1,신용보강기관명1,신용보강형태1,시공사
더스카이제일차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
더스카이제일차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
학산피에프제이차,,,,한신공영
제이엠병점제일차,일반기업,에이스건설,SPC 또는 유동화증권에 대한 신용보강,에이스건설
패스트포제일차,,,,에이스건설
강릉모노제일차,,,,태영건설
하이풍무스카이제일차,,,,디엘이앤씨
엔트레뽀이천물류제일차,,,,성보건설산업(주)
디비아레나제칠차,,,,
이터널포항제이차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,신세계건설
이터널청주제이차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,지에스건설
이터널포항제삼차,,,,신세계건설
이터널포항제삼차,,,,신세계건설
블랙타이거제일차,,교보자산신탁(주),2종 수익권 발행,에이스건설
제이엠덕수궁제일차,,,,삼정건설
에스아이지와이,,,,해당없음
가드디엘제오차,,,,대우조선해양건설
이터널중동제이차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,롯데건설
오션알파,일반기업,태영건설,SPC 또는 유동화증권에 대한 신용보강,태영건설
아델라제칠차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
아델라제칠차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
히어로즈브이원제십이차,,,,현대엔지니어링
비케이낙산,금융기관,아이비케이투자증권,유동화증권 매입보장,태왕이앤씨
비케이낙산,금융기관,아이비케이투자증권,유동화증권 매입보장,태왕이앤씨
섹션구로제일차,,,,동호건설
제이엠덕수궁제일차,,,,삼정건설
더블랙코리아,,,,해당없음
더블랙코리아,,,,해당없음
부산미남제일차,,,,효성중공업
캔자스시티,,,,해당없음
비욘드이목제일차,공공기관,한국농어촌공사,SPC 또는 유동화증권에 대한 신용보강,
비욘드이목제일차,공공기관,한국농어촌공사,SPC 또는 유동화증권에 대한 신용보강,
에이블세운,,,,대우건설
비욘드이목제일차,공공기관,한국농어촌공사,SPC 또는 유동화증권에 대한 신용보강,
비욘드이목제일차,공공기관,한국농어촌공사,SPC 또는 유동화증권에 대한 신용보강,
비욘드이목제일차,공공기관,한국농어촌공사,SPC 또는 유동화증권에 대한 신용보강,
비욘드이목제일차,공공기관,한국농어촌공사,SPC 또는 유동화증권에 대한 신용보강,
비욘드이목제일차,공공기관,한국농어촌공사,SPC 또는 유동화증권에 대한 신용보강,
섹션구로제일차,,,,동호건설
조회실패,조회실패,조회실패,조회실패,조회실패
하이레전드다이버제십차,,,,해당없음
하이레전드다이버제십칠차,,,,삼정기업
트리오제일차,,,,해당없음
길동제이에스제이차유동화전문,공공기관,주택도시보증공사,SPC 또는 유동화증권에 대한 신용보강,이랜드건설
비케이회원제일차,일반기업,현대엔지니어링,SPC 또는 유동화증권에 대한 신용보강,현대엔지니어링
트리오제일차,,,,해당없음
엠에스밀레니엄제이차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
하이드인석포제일차,,,,에스지씨이테크건설
비케이회원제일차,일반기업,현대엔지니어링,SPC 또는 유동화증권에 대한 신용보강,현대엔지니어링
비케이회원제일차,일반기업,현대엔지니어링,SPC 또는 유동화증권에 대한 신용보강,현대엔지니어링
스마트창원제일차,,,,(주)포스코이앤씨
히스토리단원제일차,일반기업,안강건설,SPC 또는 유동화증권에 대한 신용보강,안강건설
비욘드대치제일차,,,,에이치엔아이엔씨(주)
세븐스타즈제이차,일반기업,현대엔지니어링,SPC 또는 유동화증권에 대한 신용보강,현대엔지니어링
디비운정제일차유동화전문,공공기관,주택도시보증공사,SPC 또는 유동화증권에 대한 신용보강,(주)신영씨앤디
스마트창원제일차,,,,(주)포스코이앤씨
스마트창원제일차,,,,(주)포스코이앤씨
이터널광교제일차,,,,에이치디씨현대산업개발
이터널만촌제일차,,,,현대엔지니어링
이터널만촌제일차,,,,현대엔지니어링
이터널만촌제일차,,,,현대엔지니어링
드림화성골드스타제일차유동화전문,공공기관,주택도시보증공사,SPC 또는 유동화증권에 대한 신용보강,(주)금성백조건설
인베스트미소제일차,,,,해당없음
창인베스트제일차,,,,해당없음
제이온베스트,,아시아신탁,2종 수익권 발행,(주)신영씨앤디
엠에스밀레니엄제이차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
디비아레나유동화전문,공공기관,주택도시보증공사,SPC 또는 유동화증권에 대한 신용보강,(주)포스코이앤씨
이터널백석제이차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,신세계건설
창인베스트제일차,,,,해당없음
창인베스트제일차,,,,해당없음
굿메이트제사차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
엠에스밀레니엄제이차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
스위트제삼차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
케이현제이차,일반기업,대우건설,SPC 또는 유동화증권에 대한 신용보강,대우건설
이마스터제육차,일반기업,범양건영,SPC 또는 유동화증권에 대한 신용보강,범양건영
창인베스트제일차,,,,해당없음
트리오제일차,,,,해당없음
흥국케이뷰개발제일차,,,,해당없음
피디프로젝트원유동화전문,공공기관,주택도시보증공사,SPC 또는 유동화증권에 대한 신용보강,동부건설
에이치디비에이제일차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
비욘드이목제일차,공공기관,한국농어촌공사,SPC 또는 유동화증권에 대한 신용보강,
큐브반포제이차유동화전문,일반기업,삼성물산(주),SPC 또는 유동화증권에 대한 신용보강,삼성물산(구 제일모직)
플래닛서초제일차,,,,해당없음
디케이내당,금융기관,키움증권,SPC 또는 유동화증권에 대한 신용보강,대우건설
올더웨이제팔차,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,우남건설
흥국신촌제일차,일반기업,베로니스(주),SPC 또는 유동화증권에 대한 신용보강,베로니스(주)
기은센와이제이,,,,은성산업
제네시스에코델타유동화전문,공공기관,주택도시보증공사,SPC 또는 유동화증권에 대한 신용보강,한양증권
에이치디비에이제일차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
뉴스타송도세븐제일차,일반기업,(주)포스코이앤씨,SPC 또는 유동화증권에 대한 신용보강,(주)포스코이앤씨
설비범어원,,,,(주)포스코이앤씨
엔에이치명지제이차,금융기관,NH투자증권,SPC 또는 유동화증권에 대한 신용보강,신세계건설
경산아이파크제일차,일반기업,에이치디씨현대산업개발,SPC 또는 유동화증권에 대한 신용보강,에이치디씨현대산업개발
경산아이파크제일차,일반기업,에이치디씨현대산업개발,SPC 또는 유동화증권에 대한 신용보강,에이치디씨현대산업개발
경산아이파크제일차,일반기업,에이치디씨현대산업개발,SPC 또는 유동화증권에 대한 신용보강,에이치디씨현대산업개발
비욘드국사제이차,금융기관,한국투자증권,유동화증권 매입보장,한화건설
에이치디비에이제일차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
에이치디비에이제일차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
히스토리화곡제일차,,,,(주)한양건설
비욘드국사제이차,금융기관,한국투자증권,유동화증권 매입보장,한화건설
제이플라워제일차,,,,(주)계담종합건설
비케이백운제일차,,현대건설,채무자 신용도,현대건설
큐브반포유동화전문,일반기업,삼성물산(주),SPC 또는 유동화증권에 대한 신용보강,삼성물산(구 제일모직)
에이치디비에이제일차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
에코아이리스,일반기업,에이치디씨현대산업개발,유동화증권 매입보장,에이치디씨현대산업개발
브라이트스타제오차,일반기업,에이치디씨현대산업개발,SPC 또는 유동화증권에 대한 신용보강,에이치디씨현대산업개발
에이치디비에이제일차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
지디포프로젝트원유동화전문,공공기관,주택도시보증공사,SPC 또는 유동화증권에 대한 신용보강,(주)금강주택
하이스톰메이커제삼차,,,,롯데건설
피에프개발제사차,일반기업,현대엔지니어링,SPC 또는 유동화증권에 대한 신용보강,현대엔지니어링
에이치디비에이,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
에이치디비에이제일차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
지케이송현,일반기업,지에스건설,SPC 또는 유동화증권에 대한 신용보강,지에스건설
에스제이그레이트제십차,일반기업,에이치디씨현대산업개발,SPC 또는 유동화증권에 대한 신용보강,에이치디씨현대산업개발
에스제이그레이트제십차,일반기업,에이치디씨현대산업개발,SPC 또는 유동화증권에 대한 신용보강,에이치디씨현대산업개발
뉴월드명지도스,,,,신세계건설
에이치디비에이,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
희진제이차,,현대건설,채무자 신용도,현대건설
디비안산제일차유동화전문,공공기관,주택도시보증공사,SPC 또는 유동화증권에 대한 신용보강,중흥토건 (주)
비욘드캐슬제삼차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,현대엔지니어링
중일프로젝트원유동화전문,공공기관,주택도시보증공사,SPC 또는 유동화증권에 대한 신용보강,효성중공업
히스토리삼송제일차,,,,현대건설
워킹타이거제이차,일반기업,롯데건설,SPC 또는 유동화증권에 대한 신용보강,롯데건설
워킹타이거제일차,일반기업,롯데건설,SPC 또는 유동화증권에 대한 신용보강,롯데건설
에이치디비에이,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
더블유제이디제일차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
비욘드이목제일차,공공기관,한국농어촌공사,SPC 또는 유동화증권에 대한 신용보강,
에이치디비에이,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
에이치디비에이,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
히스토리영등포제일차,,,,신일
디어스판교,금융기관,중소기업은행,SPC 또는 유동화증권에 대한 신용보강,한화건설
트리알제일차,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,은일종합건설주식회사
뉴스타침산제일차,,,,(주)포스코이앤씨
더블유제이디제일차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
메가붐바제일차,일반기업,대우건설,SPC 또는 유동화증권에 대한 신용보강,대우건설
조회실패,조회실패,조회실패,조회실패,조회실패
에코파인트리플유동화전문,공공기관,주택도시보증공사,SPC 또는 유동화증권에 대한 신용보강,해당없음
세븐스타즈제이차,일반기업,현대엔지니어링,SPC 또는 유동화증권에 대한 신용보강,현대엔지니어링
송도피식스제일차,일반기업,(주)포스코이앤씨,SPC 또는 유동화증권에 대한 신용보강,(주)포스코이앤씨
