플랜번호,발행인,증권종류,종목코드,종목명,발행일,만기일,옵션,모집구분,기초자산,통화,환율,발행금액,원화환산발행금액,표면이율,이자유형,한국신용평가,한국기업평가,NICE신용평가,서울신용평가,시/도,시/구,동/읍,상세주소,브릿지론/본PF,신용보강기관종류1,신용보강기관종류2,신용보강기관명1,신용보강기관명2,신용보강형태1,신용보강형태2,신용보강기관 신용등급,사업용도,사업용도 세부종목,시공사,시공사구간,시공사 신용등급,트렌치,전체 트렌치 수,전체 대출약정 규모(억 원),분양률(%)
62702,비욘드캐슬명륜에이,AB사채,KR6382591D72,비욘드캐슬명륜에이8(사모/콜),20230731,20240131,CALL,사모,PF대출채권,KRW,,"1,227,000,000 ","1,227,000,000 ",15,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
62629,뉴스타개봉오구역유동화전문,ABS,KR6462371D78,뉴스타개봉오구역유동화전문1(콜/강제),20230728,20250328,CALL,공모,PF대출채권,KRW,,"40,000,000,000 ","40,000,000,000 ",4.445,고정-이표,AAA,AAA,,,,,,,,,,,,,,,,,,,,,,,
62671,키스해운대제삼차,AB사채,KR6419191D76,키스해운대제삼차1(사모/콜),20230728,20250928,CALL,사모,PF대출채권,KRW,,"15,000,000,000 ","15,000,000,000 ",6.66,변동-이표,,,,,,,,,,,,,,,,,,,,,,,,,
62624,디어버디제십차,AB사채,KR6464071D77,디어버디제십차1-1(사모/콜),20230727,20250117,CALL,사모,PF대출채권,KRW,,"23,000,000,000 ","23,000,000,000 ",5.05,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
62625,디어버디제십차,AB사채,KR6464072D76,디어버디제십차1-2(사모/콜),20230727,20250117,CALL,사모,PF대출채권,KRW,,"27,000,000,000 ","27,000,000,000 ",5.05,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
62652,에이치케이포남제일차,AB사채,KR6464111D79,에이치케이포남제일차1(사모/콜),20230726,20261231,CALL,사모,PF대출채권,KRW,,"2,000,000,000 ","2,000,000,000 ",9,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
62622,디비닉스 제삼십팔차,AB사채,KR6463931D79,디비닉스제삼십팔차1-1(사모/콜),20230724,20240724,CALL,사모,PF대출채권,KRW,,"10,200,000,000 ","10,200,000,000 ",5.95,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
62622,디비닉스 제삼십팔차,AB사채,KR6463932D78,디비닉스제삼십팔차1-2(사모/콜),20230724,20240724,CALL,사모,PF대출채권,KRW,,"3,200,000,000 ","3,200,000,000 ",5.96,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
62626,케이테라제이차,AB사채,KR6463881D79,케이테라제이차 2(사모/콜),20230724,20240923,CALL,사모,PF대출채권,KRW,,"16,820,000,000 ","16,820,000,000 ",5.45,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
62628,케이테라제일차,AB사채,KR6463901D75,케이테라제일차2(사모/콜),20230724,20240923,CALL,사모,PF대출채권,KRW,,"14,560,000,000 ","14,560,000,000 ",5.45,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
